main_category,product_name,image_url,actual_price,ratings,product_link,vendor_name
laptops,"Dell [Smartchoice] 15 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Win 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/T & L 1.48kg",./amazon2_files/71TcPkUibVL._AC_UY218_.jpg,"₹ 34,990",3.8 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfYXRmX25leHQ6MzAwMDY4NzE2NjgxMTMyOjowOjo&url=%2FDell-i3-1215U-Graphic-Spill-Resistant-Keyboard%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.dkKPqI6Vfs24nrzPGYoaSmCK4Tk67eNUOcAEjMUo8w7GjHj071QN20LucGBJIEps.MoI-Qv5NLu2gPes4l-zgz5I5-RIGtwCWwG3llx2nkck%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,amazon
laptops,"Lenovo IdeaPad Slim 5 Intel Core i7 13700H 16"" (40.6cm) 2.5K IPS 350Nits Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/FHD 1080p +IR Camera/Alexa/3 Month Game Pass/Cloud Grey/1.9Kg), 82XF0078IN",./amazon2_files/81FnhBmrgRL._AC_UY218_.jpg,"₹ 89,190",4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfYXRmX25leHQ6MzAwMTU2NTQwOTUzODMyOjowOjo&url=%2FLenovo-IdeaPad-350Nits-Backlit-82XF0078IN%2Fdp%2FB0CNPK2YSC%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.dkKPqI6Vfs24nrzPGYoaSmCK4Tk67eNUOcAEjMUo8w7GjHj071QN20LucGBJIEps.MoI-Qv5NLu2gPes4l-zgz5I5-RIGtwCWwG3llx2nkck%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,amazon
laptops,"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU",./amazon2_files/717YziU9uFL._AC_UY218_.jpg,"₹ 48,390",4.0 out of 5 stars,https://www.amazon.in/HP-Graphics-Backlit-fq5202TU-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_19?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.dkKPqI6Vfs24nrzPGYoaSmCK4Tk67eNUOcAEjMUo8w7GjHj071QN20LucGBJIEps.MoI-Qv5NLu2gPes4l-zgz5I5-RIGtwCWwG3llx2nkck&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-19,amazon
laptops,"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM| 32 GB eMMC Storage| 13.3"" (33.8 cm) FHD| Chrome OS| WiFi| Bluetooth| Webcam| Intel Graphics)",./amazon2_files/51B-iAjx5zL._AC_UY218_.jpg,"₹ 12,999",2.0 out of 5 stars,https://www.amazon.in/Refurbished-HP-Chromebook-Bluetooth-Graphics/dp/B0D335SPLQ/ref=sr_1_20?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.dkKPqI6Vfs24nrzPGYoaSmCK4Tk67eNUOcAEjMUo8w7GjHj071QN20LucGBJIEps.MoI-Qv5NLu2gPes4l-zgz5I5-RIGtwCWwG3llx2nkck&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-20,amazon
laptops,"ASUS Vivobook 16X (2022) Thin and Light Laptop,AMD Ryzen 5 5600H, 16.0-inch (40.64 cms) FHD+ 16:10, (8GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.80 kg), M1603QA-MB501WS",./amazon2_files/61xkKiYZVZL._AC_UY218_.jpg,"₹ 45,990",4.2 out of 5 stars,https://www.amazon.in/ASUS-Vivobook-16-0-inch-40-64-M1603QA-MB501WS/dp/B0B8ZT96HS/ref=sr_1_21?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.dkKPqI6Vfs24nrzPGYoaSmCK4Tk67eNUOcAEjMUo8w7GjHj071QN20LucGBJIEps.MoI-Qv5NLu2gPes4l-zgz5I5-RIGtwCWwG3llx2nkck&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-21,amazon
laptops,"HP 15s, 11th Gen Intel Core i5-1155G7, 15.6 inch(39.6cm) FHD Anti-Glare Laptop(8GB RAM/512 GB SSD/Intel Iris Xe Graphics/Win 11/Dual Speakers/Backlit KeyboardAlexa Built-in/MSO 2021) 15s-fr4000TU",./amazon2_files/718VTQB6pxL._AC_UY218_.jpg,"₹ 44,999",4.0 out of 5 stars,https://www.amazon.in/HP-i5-1155G7-Anti-Glare-KeyboardAlexa-15s-fr4000TU/dp/B0BRT8PGFB/ref=sr_1_17?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-17,amazon
laptops,"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU",./amazon2_files/71KuZJl0-7L._AC_UY218_.jpg,"₹ 44,490",4.1 out of 5 stars,https://www.amazon.in/HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_18?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-18,amazon
laptops,"Dell Inspiron 7420 2in1 Laptop, Intel Core i7-1255U Processor/16GB/512GB/14.0"" (35.56cm) FHD+ WVA Touch 250 nits, Active Pen/Win 11 + MSO'21, 15 Month McAfee/Backlit KB + FPR/Platinum Silver",./amazon2_files/61Pb4vDP8VL._AC_UY218_.jpg,"₹ 77,490",4.0 out of 5 stars,https://www.amazon.in/Dell-Inspiron-i7-1255U-Processor-Platinum/dp/B0C9F142V6/ref=sr_1_19?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-19,amazon
laptops,"HP Victus Gaming Laptop, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 GPU, 15.6-inch (39.6 cm), 75W TGP, FHD, IPS, 144 Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O (Win 11, Blue, 2.37 kg), fa1317TX",./amazon2_files/71odHtPR2BL._AC_UY218_.jpg,"₹ 83,490",4.1 out of 5 stars,https://www.amazon.in/HP-i5-13420H-15-6-inch-Backlit-fa1317TX/dp/B0D1YHWVF9/ref=sr_1_20?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-20,amazon
laptops,"HP 250 G9 Intel Celeron Dual Core 4500u - (8 GB/256 GB SSD/DOS) 8Y2Y9PA Laptop (15.6 inch, Silver, 1.75 kg)",./amazon2_files/61JYH36ZBmL._AC_UY218_.jpg,"₹ 22,490",3.0 out of 5 stars,https://www.amazon.in/HP-Intel-Celeron-Dual-4500u/dp/B0CZDRCHQ5/ref=sr_1_21?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-21,amazon
laptops,"Dell 14 Laptop, AMD Ryzen R5-5500U/ 8GB DDR4, 2400 MHz/ 512GB/ 14.0"" (35.56cm) FHD Display with Comfort View/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/ 1.48kg",./amazon2_files/615acqoUuIL._AC_UY218_.jpg,"₹ 35,990",2.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfbXRmOjMwMDEzMjczMjgzNTQzMjo6MDo6&url=%2FDell-R5-5500U-35-56cm-Spill-Resistant-Keyboard%2Fdp%2FB0CLH81BGH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon
laptops,"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/RGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN",./amazon2_files/81tmCrtiRgL._AC_UY218_.jpg,"₹ 69,990",3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfbXRmOjMwMDE2NzA4MTY3OTQzMjo6MDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_23_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon
laptops,"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU",./amazon2_files/61RbL0cgIzL._AC_UY218_.jpg,"₹ 35,590",3.8 out of 5 stars,https://www.amazon.in/HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_24?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-24,amazon
laptops,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN",./amazon2_files/81+SKGgJ9yL._AC_UY218_.jpg,"₹ 37,490",4.1 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_25?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-25,amazon
laptops,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",./amazon2_files/51KL3aOZ0tL._AC_UY218_.jpg,"₹ 52,990",3.8 out of 5 stars,https://www.amazon.in/Acer-i7-1255U-Premium-Windows-AL15-52/dp/B0D262KC1J/ref=sr_1_26?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-26,amazon
laptops,"ASUS Vivobook 14, Intel Core i3-1115G4 11th Gen, 14"" (35.56 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Indie Black/1.60 kg), X1400EA-EK323WS",./amazon2_files/71mksp9a0LL._AC_UY218_.jpg,"₹ 30,990",4.1 out of 5 stars,https://www.amazon.in/ASUS-Vivobook-i3-1115G4-Windows-X1400EA-EK323WS/dp/B0CLLG9711/ref=sr_1_27?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-27,amazon
laptops,"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & Light, Intel Iris Xᵉ Graphics, Dual Speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU",./amazon2_files/71xBnY8PDEL._AC_UY218_.jpg,"₹ 40,990",4.1 out of 5 stars,https://www.amazon.in/HP-i3-1315U-15-6-inch-Graphics-Speakers/dp/B0C3RF3HT3/ref=sr_1_28?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-28,amazon
laptops,"Lenovo LOQ Intel Core i7-13620H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB/3 Month Game Pass/Office 2021/Storm Grey/2.4Kg), 82XV00BRIN",./amazon2_files/81f7dTXcl4L._AC_UY218_.jpg,"₹ 1,04,990",4.0 out of 5 stars,https://www.amazon.in/Lenovo-i7-13620H-39-6cm-350Nits-82XV00BRIN/dp/B0CR1JLZ8B/ref=sr_1_29?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-29,amazon
laptops,"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Blue, 1.76 Kg",./amazon2_files/71hjJHMCeRL._AC_UY218_.jpg,"₹ 25,990",3.9 out of 5 stars,https://www.amazon.in/ZEBRONICS-Processor-15-6-Inch-Display-Battery/dp/B0CJJCT1PT/ref=sr_1_30?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-30,amazon
laptops,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",./amazon2_files/61aaFLxqFKL._AC_UY218_.jpg,"₹ 46,990",4.1 out of 5 stars,https://www.amazon.in/MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_31?crid=2ETKGII47HDBG&dib=eyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA&dib_tag=se&keywords=laptops&qid=1716482359&sprefix=laptop%2Caps%2C278&sr=8-31,amazon
laptops,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Thin and Light Laptop (32GB/1TB SSD/Win11/100% DCI-P3/Office 2021/Alexa/3 Month Game Pass/Grey/1.4Kg), 83D2001GIN",./amazon2_files/81Ev2S5nrVL._AC_UY218_.jpg,"₹ 1,07,990",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfYnRmOjMwMDE2NTM3MDM0NjIzMjo6MDo6&url=%2FLenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN%2Fdp%2FB0CY2LDT1S%2Fref%3Dsr_1_32_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon
laptops,"HP Laptop 15, 12th Gen Intel® Core™ i3-1215U,15.6-inch(39.6 cm),FHD,Anti-Glare,MSO,8GB DDR4 (3200MHz),512GB SSD,Dual Speakers,Windows 11,Natural Silver,1.69kg, 15s-fq5007TU",./amazon2_files/51KStMFzLjL._AC_UY218_.jpg,"₹ 37,999",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzUzNDE4MTkxMTQzOjE3MTY0ODIzNTk6c3BfYnRmOjMwMDE2OTAyMDYyMTMzMjo6MDo6&url=%2FHP-i3-1215U-15-6-inch-Anti-Glare-15s-fq5007TU%2Fdp%2FB0CY2Q63PY%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2ETKGII47HDBG%26dib%3DeyJ2IjoiMSJ9.yupHeD6cHXObSFTcbWk_F7G9zXdWxkE0P6f3ZQJ6g-fH7J2NAaOvq2bVlQduk6tbaYiHZt8paaW3fG2b_Blst6mZL3MHIbEFqliUBzDQJk483AaftkaMI_Nz5ob7m5ytb2UwsNyWBOA5ojJmEkx-hFm-kls7le5xkKfq6chsDVrjwH5kKQ2Oc5hH9rqGCPdu.EdW-pE37miowpF--wQSZ2TRbC7CD9__4q1w04k8ziKA%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716482359%26sprefix%3Dlaptop%252Caps%252C278%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon
